position,eval
x-o--ooxx,1
x-o--o-xx,-1
x-o--o-x-,1
x-o---oxx,1
x-o---ox-,1
x-o----xo,0
x-o----x-,0
x-oo----x,1
x-o-o---x,1
x-o--o--x,1
x-o---o-x,1
x-o----ox,1
x-o-----x,-1
x-o------,1
xxxoo----,-1
xxxooxo--,-1
xxxooxoxo,-1
xx-ooxoxo,1
xx-ooxox-,1
xxxooxoox,-1
xx-ooxoox,1
xx-ooxo-x,1
xx-ooxo--,1
xxxoox-o-,-1
xxxooxxoo,-1
xx-ooxxoo,1
xx-ooxxo-,0
xx-oox-ox,0
xx-oox-o-,1
xxxoox--o,-1
xx-ooxx-o,0
xx-oox-xo,0
xx-oox--o,1
xx-oox---,0
xx-ooox--,-1
xxxoo-xo-,-1
xx-oooxox,-1
xx-oo-xox,1
xx-oo-xo-,1
xxxoo-x-o,-1
xx-oooxxo,-1
xx-oo-xxo,1
xx-oo-x-o,1
xx-oo-x--,1
xx-ooo-x-,-1
xxxoo-ox-,-1
xx-ooooxx,-1
xx-oo-oxx,1
xx-oo-ox-,1
xxxoo--xo,-1
xx-oo--xo,1
xx-oo--x-,1
xx-ooo--x,-1
xxxoo-o-x,-1
xx-oo-o-x,1
xxxoo--ox,-1
xx-oo--ox,1
xx-oo---x,1
xx-oo----,1
xxxo-o---,-1
xxxoxoo--,-1
xx-oxoox-,-1
xx-oxoo-x,-1
xx-oxoo--,1
xxxoxo-o-,-1
xxxoxoxoo,-1
xx-oxoxoo,1
xx-oxoxo-,-1
xx-oxo-ox,-1
xx-oxo-o-,1
xxxoxo--o,-1
xx-oxox-o,1
xx-oxo-xo,-1
xx-oxo--o,1
xx-oxo---,-1
xxxo-oxo-,-1
xx-o-oxox,1
xx-o-oxo-,1
xxxo-ox-o,-1
xx-o-oxxo,1
xx-o-ox-o,1
xx-o-ox--,1
xxxo-oox-,-1
xx-o-ooxx,1
xx-o-oox-,1
xxxo-o-xo,-1
xx-o-o-xo,1
xx-o-o-x-,1
xxxo-oo-x,-1
xx-o-oo-x,1
xxxo-o-ox,-1
xx-o-o-ox,1
xx-o-o--x,1
xx-o-o---,1
xxxo--o--,-1
xxxox-oo-,-1
xx-oxxooo,-1
xx-oxxoo-,1
xx-ox-oox,-1
xx-ox-oo-,1
xxxox-o-o,-1
xx-oxxo-o,1
xx-ox-oxo,-1
xx-ox-o-o,1
xx-ox-o--,-1
xxxo-xoo-,-1
xx-o-xoox,-1
xx-o-xoo-,1
xxxo-xo-o,-1
xx-o-xoxo,-1
xx-o-xo-o,1
xx-o-xo--,-1
xxxo--oxo,-1
xx-o--oxo,1
xx-o--ox-,-1
xxxo--oox,-1
xx-o--oox,1
xx-o--o-x,-1
xx-o--o--,1
xxxo---o-,-1
xxxox--oo,-1
xx-oxx-oo,1
xx-ox-xoo,0
xx-ox--oo,1
xx-ox--o-,-1
xxxo-x-oo,-1
xx-o-xxoo,0
xx-o-x-oo,1
xx-o-x-o-,0
xxxo--xoo,-1
xx-o--xoo,1
xx-o--xo-,0
xx-o---ox,-1
xx-o---o-,1
xxxo----o,-1
xx-ox---o,-1
xx-o-x--o,0
xx-o--x-o,0
xx-o---xo,-1
xx-o----o,1
xx-o-----,-1
x-xooxoxo,1
x-xooxox-,-1
x-xooxo-x,-1
x-xooxo--,1
x-xooxxoo,1
